"Sex";"MaritalStatus";"Age";"Education";"Occupation";"YearsInSf";"DualIncome";"HouseholdMembers";"Under18";"HouseholdStatus";"TypeOfHome";"EthnicClass";"Language";"AnualIncome"
"2330";"2";"5";1;"2";"9";"5";1;"4";1;"Live with Parents/Family";"1";"7";"3";76004
"2331";"2";"5";1;"2";"6";"4";1;"3";1;"Live with Parents/Family";"1";"2";"1";9136
"2332";"2";"1";5;"4";"1";"5";2;"?";0;"Own";"1";"7";"1";76004
"2333";"2";"1";4;"5";"1";"5";2;"3";1;"Own";"1";"7";"1";76004
"2334";"2";"5";2;"3";"6";"5";1;"4";1;"Live with Parents/Family";"1";"7";"1";66994
"2335";"Male";"1";4;"6";"1";"5";2;"2";0;"Own";"1";"3";"1";76004
"2336";"Male";"5";5;"6";"1";"5";1;"1";0;"Own";"1";"7";"1";66994
"2337";"Male";"1";5;"6";"1";"5";2;"6";2;"Own";"1";"6";"3";76004
"2338";"2";"1";5;"3";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"2339";"Male";"5";3;"4";"1";"5";1;"3";0;"Rent";"5";"7";"1";46894
"2340";"2";"3";4;"5";"1";"1";1;"1";0;"Rent";"2";"7";"?";76004
"2341";"2";"1";3;"6";"1";"5";2;"2";0;"Own";"1";"7";"1";66994
"2342";"Male";"1";3;"6";"6";"3";2;"2";0;"Own";"1";"7";"1";76004
"2343";"Male";"5";4;"6";"1";"4";1;"1";0;"Rent";"3";"7";"1";66994
"2344";"2";"5";5;"4";"4";"5";1;"3";0;"Own";"1";"2";"1";66994
"2345";"Male";"5";3;"5";"1";"5";1;"1";0;"Own";"1";"7";"1";76004
"2346";"Male";"1";3;"4";"1";"5";2;"3";1;"Own";"1";"7";"1";76004
"2347";"2";"1";4;"6";"1";"5";2;"3";1;"Own";"1";"7";"1";76004
"2348";"2";"1";4;"6";"5";"5";3;"4";2;"Own";"1";"7";"1";76004
"2349";"2";"1";5;"3";"5";"5";3;"2";0;"Own";"?";"7";"1";76004
"2350";"2";"1";5;"4";"5";"5";3;"5";2;"Own";"1";"7";"1";66994
"2351";"2";"5";2;"2";"6";"5";1;"4";0;"Live with Parents/Family";"1";"2";"1";66994
"2352";"2";"1";4;"4";"1";"5";2;"4";2;"Own";"1";"7";"1";66994
"2353";"2";"1";5;"4";"1";"5";3;"2";0;"Own";"1";"7";"1";76004
"2354";"2";"1";4;"3";"5";"2";3;"2";0;"Rent";"3";"7";"3";66994
"2355";"2";"1";3;"4";"5";"5";3;"4";2;"Own";"1";"7";"1";76004
"2356";"2";"1";4;"4";"5";"5";3;"3";1;"Rent";"3";"7";"1";66994
"2357";"2";"1";3;"4";"1";"5";2;"4";2;"Own";"1";"7";"1";76004
"2358";"2";"5";2;"4";"6";"5";1;"3";1;"Live with Parents/Family";"5";"7";"1";46894
"2359";"2";"1";3;"6";"1";"4";2;"2";0;"Rent";"2";"8";"1";32171
"2360";"Male";"1";3;"4";"1";"5";3;"2";0;"Rent";"?";"7";"1";27591
"2361";"2";"1";3;"2";"5";"4";3;"4";2;"Rent";"1";"7";"1";46894
"2362";"2";"1";2;"4";"1";"3";2;"2";0;"Rent";"3";"7";"1";46894
"2363";"2";"1";3;"3";"6";"3";3;"2";0;"Rent";"3";"8";"3";32171
"2364";"2";"5";2;"3";"2";"5";1;"3";0;"Live with Parents";"1";"7";"1";9136
"2365";"2";"4";4;"4";"1";"2";1;"2";0;"Rent";"1";"7";"1";21672
"2366";"Male";"1";3;"4";"1";"3";2;"3";1;"Rent";"1";"7";"1";32171
"2367";"2";"3";3;"4";"6";"5";1;"1";0;"Rent";"1";"7";"1";9136
"2368";"2";"5";2;"4";"2";"5";1;"5";2;"Live with Parents/Family";"1";"7";"1";11703
"2369";"2";"5";2;"2";"6";"5";1;"4";1;"Live with Parents/Family";"1";"2";"3";9136
"2370";"Male";"5";2;"3";"2";"5";1;"2";0;"Own";"1";"7";"1";11703
"2371";"2";"5";2;"3";"6";"4";1;"5";2;"Live with Parents/Family";"1";"2";"3";9136
"2372";"2";"1";4;"4";"5";"5";3;"4";2;"Own";"1";"7";"1";27591
"2373";"Male";"5";5;"3";"4";"5";1;"1";0;"Own";"1";"2";"1";32171
"2374";"Male";"5";3;"4";"6";"5";1;"2";0;"Live with Parents/Family";"1";"7";"1";9136
"2375";"2";"5";2;"6";"4";"5";1;"2";0;"Rent";"3";"7";"1";19997
"2376";"2";"5";2;"4";"6";"5";1;"4";0;"Rent";"3";"7";"1";9136
"2377";"2";"5";3;"3";"4";"5";1;"3";0;"Rent";"1";"7";"1";19997
"2378";"2";"2";2;"5";"6";"5";1;"4";1;"Own";"1";"8";"1";9136
"2379";"Male";"2";2;"5";"6";"5";2;"4";1;"Rent";"1";"7";"?";9136
"2380";"Male";"5";2;"4";"6";"2";1;"7";2;"Live with Parents/Family";"1";"6";"3";11703
"2381";"Male";"5";2;"4";"2";"5";1;"4";0;"Rent";"1";"7";"1";11703
"2382";"2";"5";4;"4";"1";"5";1;"1";0;"Rent";"3";"7";"1";27591
"2383";"Male";"5";4;"3";"2";"5";1;"2";0;"Rent";"2";"7";"1";32171
"2384";"2";"5";2;"3";"6";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";9136
"2385";"2";"5";2;"4";"6";"5";1;"1";0;"Rent";"3";"7";"1";9136
"2386";"Male";"5";2;"3";"1";"5";1;"3";0;"Rent";"5";"7";"1";32171
"2387";"2";"5";2;"4";"2";"4";1;"5";1;"Live with Parents/Family";"1";"7";"1";9136
"2388";"Male";"5";4;"5";"4";"5";1;"1";0;"Rent";"1";"2";"1";32171
"2389";"2";"5";2;"4";"2";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";11703
"2390";"2";"1";3;"4";"2";"5";2;"2";0;"Rent";"3";"7";"1";19997
"2391";"2";"5";2;"6";"1";"4";1;"1";0;"Own";"2";"2";"1";27591
"2392";"2";"5";4;"6";"1";"5";1;"1";0;"Rent";"3";"7";"1";46894
"2393";"2";"5";2;"3";"6";"5";1;"5";1;"Live with Parents/Family";"1";"6";"1";9136
"2394";"2";"5";2;"4";"6";"5";1;"4";0;"Live with Parents/Family";"1";"2";"1";9136
"2395";"Male";"5";3;"4";"6";"5";1;"2";0;"Live with Parents/Family";"1";"7";"1";32171
"2396";"Male";"4";5;"6";"1";"?";1;"1";0;"Own";"1";"7";"1";32171
"2397";"Male";"5";3;"5";"1";"2";1;"1";0;"Rent";"1";"7";"1";32171
"2398";"2";"5";2;"4";"6";"5";1;"?";0;"Rent";"3";"6";"1";9136
"2399";"2";"1";3;"4";"1";"5";2;"2";0;"Own";"2";"7";"1";32171
"2400";"2";"1";2;"4";"4";"5";2;"2";0;"Rent";"3";"7";"1";21672
"2401";"2";"1";6;"3";"5";"5";3;"2";0;"Own";"1";"7";"1";32171
"2402";"2";"1";6;"5";"1";"5";3;"2";0;"Own";"1";"7";"1";32171
"2403";"2";"1";6;"4";"8";"4";3;"?";0;"Own";"1";"7";"1";21672
"2404";"2";"4";7;"3";"8";"?";1;"1";0;"Own";"1";"7";"1";11703
"2405";"Male";"1";7;"3";"8";"5";3;"2";0;"Own";"1";"7";"1";32171
"2406";"Male";"5";1;"2";"6";"3";1;"3";1;"Live with Parents/Family";"1";"2";"3";9136
"2407";"2";"5";1;"2";"6";"?";1;"5";3;"Live with Parents/Family";"3";"2";"?";9136
"2408";"2";"5";1;"2";"6";"5";1;"4";2;"Live with Parents/Family";"1";"2";"1";9136
"2409";"Male";"1";6;"5";"1";"5";3;"2";0;"Own";"1";"7";"1";76004
"2410";"2";"3";6;"4";"4";"4";1;"3";0;"Own";"1";"7";"1";66994
"2411";"2";"1";6;"4";"1";"5";2;"5";0;"Own";"1";"7";"1";76004
"2412";"Male";"1";7;"6";"1";"3";2;"2";0;"Own";"1";"7";"1";76004
"2413";"Male";"5";1;"2";"3";"5";1;"5";1;"Live with Parents/Family";"1";"2";"1";9136
"2414";"2";"5";1;"2";"2";"4";1;"3";2;"Live with Parents/Family";"3";"2";"1";9136
"2415";"2";"5";1;"2";"2";"5";1;"5";3;"Live with Parents/Family";"1";"7";"1";46894
"2416";"2";"5";1;"2";"6";"5";1;"4";1;"Live with Parents/Family";"1";"7";"1";9136
"2417";"2";"5";1;"2";"2";"5";1;"4";2;"Live with Parents/Family";"1";"7";"1";9136
"2418";"2";"5";1;"2";"6";"5";1;"4";2;"Live with Parents/Family";"1";"7";"1";9136
"2419";"2";"5";3;"3";"9";"5";1;"1";1;"Own";"1";"7";"1";9136
"2420";"2";"1";3;"4";"1";"5";2;"3";1;"Own";"1";"7";"1";27591
"2421";"Male";"5";2;"4";"4";"5";1;"5";1;"Live with Parents/Family";"1";"7";"1";9136
"2422";"Male";"5";2;"4";"6";"5";1;"4";1;"Live with Parents/Family";"1";"7";"1";9136
"2423";"8";"5";2;"5";"9";"4";1;"1";0;"Rent";"5";"7";"1";9136
"2424";"2";"5";3;"6";"1";"5";1;"1";0;"Own";"2";"7";"1";32171
"2425";"Male";"1";3;"5";"2";"2";2;"2";0;"Rent";"3";"7";"1";46894
"2426";"Male";"5";2;"4";"9";"2";1;"6";0;"Rent";"1";"1";"2";19997
"2427";"2";"3";4;"4";"9";"5";1;"3";1;"Live with Parents/Family";"1";"7";"1";11703
"2428";"2";"1";3;"3";"1";"5";3;"3";1;"Own";"1";"7";"1";32171
"2429";"2";"1";7;"2";"?";"5";2;"2";0;"Own";"1";"?";"1";76004
"2430";"2";"5";2;"3";"6";"5";1;"?";0;"Live with Parents/Family";"2";"7";"1";9136
"2431";"Male";"1";3;"4";"1";"3";3;"3";1;"Rent";"3";"6";"1";32171
"2432";"Male";"5";3;"5";"1";"4";1;"1";0;"Rent";"3";"7";"1";32171
"2433";"2";"5";2;"4";"4";"?";1;"5";3;"Live with Family";"1";"3";"1";9136
"2434";"2";"5";4;"4";"4";"5";1;"3";0;"Rent";"3";"7";"1";21672
"2435";"Male";"5";2;"6";"1";"1";1;"2";0;"Rent";"3";"7";"1";46894
"2436";"Male";"5";3;"4";"2";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";11703
"2437";"2";"5";4;"5";"1";"5";1;"4";1;"Live with Parents/Family";"1";"7";"1";27591
"2438";"2";"1";2;"3";"4";"4";2;"2";0;"Rent";"2";"7";"1";46894
"2439";"Male";"3";5;"4";"2";"3";1;"2";0;"Live with Parents/Family";"3";"7";"1";19997
"2440";"2";"1";3;"4";"1";"?";2;"3";1;"Rent";"1";"7";"1";46894
"2441";"2";"1";4;"5";"5";"5";2;"6";2;"Own";"1";"7";"1";32171
"2442";"2";"5";2;"4";"1";"5";1;"3";0;"Live with Parents/Family";"?";"5";"1";32171
"2443";"2";"1";5;"3";"6";"5";2;"4";2;"Own";"1";"5";"2";32171
"2444";"2";"3";4;"5";"1";"?";1;"4";2;"Own";"1";"7";"1";19997
"2445";"2";"1";4;"6";"1";"3";2;"2";0;"Own";"2";"7";"1";76004
"2446";"Male";"5";3;"4";"1";"5";1;"2";0;"Rent";"1";"7";"1";21672
"2447";"2";"5";4;"6";"1";"5";1;"1";0;"Own";"1";"7";"1";66994
"2448";"2";"1";4;"5";"2";"5";2;"4";2;"Own";"1";"7";"1";66994
"2449";"2";"1";5;"6";"1";"5";2;"2";0;"Own";"1";"3";"1";66994
"2450";"2";"1";3;"4";"2";"5";2;"2";0;"Own";"1";"1";"1";76004
"2451";"Male";"1";3;"5";"1";"5";2;"2";0;"Rent";"3";"7";"1";66994
"2452";"2";"1";6;"4";"2";"5";3;"3";0;"Own";"1";"7";"1";76004
"2453";"Male";"2";2;"6";"5";"4";3;"3";1;"Own";"1";"8";"3";66994
"2454";"Male";"1";4;"6";"1";"2";2;"2";0;"Own";"1";"7";"1";76004
"2455";"2";"1";5;"6";"1";"2";2;"2";0;"Own";"1";"2";"1";76004
"2456";"2";"1";3;"4";"4";"5";2;"2";0;"Own";"1";"7";"1";76004
"2457";"Male";"1";3;"5";"3";"2";2;"2";0;"Rent";"1";"7";"1";66994
"2458";"2";"1";3;"4";"1";"5";2;"2";0;"Own";"1";"7";"1";66994
"2459";"Male";"1";3;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";66994
"2460";"2";"1";5;"6";"1";"5";2;"4";2;"Own";"1";"7";"1";66994
"2461";"2";"1";4;"5";"1";"5";2;"6";4;"Own";"1";"2";"1";66994
"2462";"Male";"1";6;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"2463";"Male";"1";6;"6";"1";"5";3;"2";0;"Own";"1";"7";"1";66994
"2464";"2";"1";4;"5";"1";"4";2;"4";0;"Own";"1";"7";"1";76004
"2465";"Male";"1";6;"4";"8";"5";3;"2";0;"Own";"1";"7";"1";66994
"2466";"2";"1";7;"4";"8";"5";3;"2";0;"Own";"?";"7";"1";66994
"2467";"2";"1";6;"6";"2";"5";3;"3";0;"Own";"1";"7";"1";76004
"2468";"Male";"1";3;"5";"1";"3";3;"3";1;"Own";"1";"5";"1";32171
"2469";"Male";"5";3;"5";"8";"?";1;"1";0;"Rent";"3";"7";"1";9136
"2470";"Male";"5";2;"4";"3";"5";1;"6";0;"Live with Parents/Family";"1";"2";"1";21672
"2471";"Male";"5";2;"4";"2";"5";1;"4";0;"Rent";"1";"3";"?";27591
"2472";"2";"3";3;"4";"1";"2";1;"?";0;"Rent";"3";"7";"1";11703
"2473";"Male";"1";3;"5";"1";"3";3;"4";2;"Rent";"3";"8";"3";46894
"2474";"Male";"1";3;"4";"1";"5";2;"2";0;"Rent";"3";"7";"1";32171
"2475";"Male";"5";3;"3";"9";"5";1;"1";0;"Rent";"3";"7";"1";21672
"2476";"Male";"2";2;"2";"2";"5";1;"5";0;"Rent";"4";"7";"1";19997
"2477";"Male";"5";3;"6";"1";"3";1;"1";0;"Rent";"3";"7";"3";46894
"2478";"Male";"2";3;"5";"1";"5";1;"3";0;"Rent";"5";"7";"?";19997
"2479";"2";"1";3;"5";"5";"3";3;"3";1;"Own";"1";"7";"1";46894
"2480";"2";"1";3;"3";"4";"2";2;"2";0;"Rent";"3";"7";"1";32171
"2481";"2";"3";5;"4";"9";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";9136
"2482";"2";"5";3;"6";"1";"3";1;"1";0;"Rent";"3";"3";"1";32171
"2483";"2";"5";5;"4";"4";"?";1;"3";0;"Rent";"1";"7";"1";32171
"2484";"2";"2";2;"5";"1";"2";2;"2";0;"Rent";"5";"7";"1";21672
"2485";"2";"3";4;"3";"1";"5";1;"2";1;"Rent";"5";"8";"1";19997
"2486";"Male";"1";6;"?";"8";"?";3;"2";0;"Rent";"?";"1";"1";19997
"2487";"2";"1";6;"5";"4";"?";2;"3";0;"Own";"1";"7";"1";76004
"2488";"2";"2";3;"4";"1";"5";1;"2";0;"Own";"2";"7";"1";66994
"2489";"2";"1";3;"6";"1";"4";2;"2";0;"Own";"1";"7";"1";66994
"2490";"Male";"1";6;"5";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"2491";"Male";"2";3;"4";"1";"5";2;"2";0;"Own";"2";"7";"1";66994
"2492";"Male";"1";3;"6";"1";"4";2;"3";1;"Own";"1";"7";"1";66994
"2493";"2";"1";4;"5";"1";"3";2;"2";0;"Own";"1";"7";"1";27591
"2494";"Male";"1";4;"4";"2";"5";2;"3";1;"Own";"1";"1";"1";76004
"2495";"2";"1";4;"6";"1";"5";2;"4";2;"Own";"1";"2";"1";76004
"2496";"Male";"5";2;"4";"6";"5";1;"3";0;"Live with Parents/Family";"1";"2";"1";66994
"2497";"Male";"1";5;"6";"1";"4";2;"3";1;"Rent";"1";"2";"1";66994
"2498";"Male";"1";4;"5";"1";"5";2;"3";0;"Own";"1";"7";"1";76004
"2499";"Male";"1";5;"4";"1";"5";3;"3";1;"Own";"1";"7";"1";66994
"2500";"Male";"1";5;"4";"1";"2";2;"3";0;"Rent";"2";"7";"1";66994
"2501";"Male";"5";4;"6";"1";"2";1;"1";0;"Own";"2";"7";"1";66994
"2502";"Male";"5";2;"4";"2";"5";1;"4";0;"Live with Parents/Family";"1";"7";"1";76004
"2503";"Male";"5";2;"4";"6";"5";1;"5";0;"Live with Parents/Family";"1";"7";"1";76004
"2504";"2";"1";5;"3";"3";"5";2;"3";1;"Own";"1";"7";"1";66994
"2505";"2";"1";5;"3";"4";"2";2;"3";0;"Rent";"2";"7";"1";66994
"2506";"2";"1";4;"4";"1";"5";2;"4";2;"Rent";"2";"7";"1";76004
"2507";"2";"1";4;"6";"1";"3";2;"2";0;"Own";"2";"7";"1";66994
"2508";"Male";"1";6;"6";"8";"5";3;"2";0;"Own";"1";"7";"1";76004
"2509";"Male";"1";6;"5";"1";"4";3;"2";0;"Own";"1";"7";"1";76004
"2510";"Male";"1";6;"6";"1";"2";2;"2";0;"Own";"2";"7";"1";76004
"2511";"2";"1";6;"5";"4";"2";2;"2";0;"Own";"2";"7";"?";76004
"2512";"Male";"1";2;"5";"1";"2";2;"3";1;"Rent";"1";"7";"1";27591
"2513";"2";"2";2;"3";"3";"5";2;"2";0;"Rent";"5";"7";"1";32171
"2514";"2";"1";3;"5";"1";"5";2;"3";1;"Own";"1";"7";"1";32171
"2515";"2";"3";4;"6";"7";"?";1;"1";0;"Own";"2";"7";"1";46894
"2516";"2";"5";2;"3";"2";"3";1;"5";2;"Live with Parents/Family";"1";"2";"1";46894
"2517";"Male";"5";2;"3";"2";"5";1;"4";1;"Live with Parents/Family";"1";"2";"1";11703
"2518";"Male";"2";2;"3";"3";"5";2;"2";0;"Rent";"2";"5";"1";27591
"2519";"Male";"5";2;"4";"2";"5";1;"3";0;"Rent";"1";"7";"1";32171
"2520";"Male";"1";4;"4";"3";"5";3;"3";1;"Own";"5";"7";"1";32171
"2521";"Male";"5";3;"5";"1";"2";1;"1";0;"Rent";"3";"7";"1";32171
"2522";"Male";"5";2;"5";"1";"2";1;"2";0;"Rent";"3";"7";"1";32171
"2523";"Male";"2";4;"4";"1";"2";1;"2";0;"Rent";"3";"7";"1";32171
"2524";"Male";"1";3;"3";"1";"5";3;"3";1;"Rent";"2";"7";"1";32171
"2525";"2";"5";2;"3";"2";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";9136
"2526";"2";"3";3;"4";"4";"5";1;"2";0;"Own";"2";"7";"1";11703
"2527";"2";"5";2;"5";"1";"2";1;"1";0;"Rent";"3";"7";"1";19997
"2528";"2";"1";3;"4";"1";"5";2;"3";1;"Rent";"1";"7";"?";32171
"2529";"2";"3";4;"4";"1";"5";1;"2";1;"Own";"2";"7";"1";32171
"2530";"2";"2";3;"3";"2";"2";1;"2";0;"Rent";"3";"7";"1";32171
"2531";"2";"5";2;"4";"2";"?";1;"4";0;"Live with Parents/Family";"1";"7";"1";11703
"2532";"2";"5";2;"4";"2";"5";1;"2";0;"Own";"1";"7";"1";32171
"2533";"2";"5";2;"3";"6";"5";1;"4";0;"Live with Parents/Family";"1";"7";"1";46894
"2534";"2";"2";2;"3";"1";"5";1;"2";0;"Rent";"2";"7";"1";21672
"2535";"2";"2";2;"4";"4";"5";2;"3";0;"Rent";"3";"7";"1";19997
"2536";"2";"1";3;"4";"1";"5";2;"3";1;"Rent";"1";"7";"1";46894
"2537";"Male";"1";4;"4";"1";"5";2;"4";2;"Own";"1";"3";"1";46894
"2538";"2";"5";3;"3";"2";"?";1;"3";0;"Rent";"2";"5";"1";27591
"2539";"2";"3";4;"4";"1";"5";1;"3";2;"Rent";"3";"5";"1";32171
"2540";"2";"1";6;"6";"1";"5";3;"2";0;"Own";"1";"7";"1";46894
"2541";"2";"1";7;"3";"5";"5";3;"2";0;"Own";"1";"7";"1";11703
"2542";"2";"1";7;"4";"8";"5";3;"5";0;"Own";"1";"7";"1";32171
"2543";"2";"5";6;"6";"8";"5";1;"1";0;"Rent";"3";"7";"1";11703
"2544";"2";"3";6;"4";"4";"5";1;"2";0;"Own";"2";"7";"1";11703
"2545";"2";"4";7;"3";"4";"5";1;"2";0;"Rent";"3";"7";"1";9136
"2546";"Male";"5";3;"4";"1";"5";1;"1";0;"Rent";"3";"7";"1";46894
"2547";"Male";"5";2;"4";"3";"5";1;"2";0;"Rent";"3";"7";"1";19997
"2548";"Male";"3";3;"4";"4";"5";1;"1";0;"Live with Parents/Family";"1";"7";"1";11703
"2549";"2";"3";3;"4";"3";"5";1;"2";1;"Rent";"3";"7";"1";21672
"2550";"2";"5";3;"5";"1";"4";1;"1";0;"Rent";"3";"3";"1";21672
"2551";"2";"3";4;"4";"4";"5";1;"1";0;"Rent";"3";"7";"1";19997
"2552";"2";"5";4;"6";"6";"5";1;"2";0;"Rent";"1";"7";"1";9136
"2553";"2";"3";3;"4";"1";"5";1;"1";0;"Live with Parents/Family";"1";"7";"1";32171
"2554";"Male";"5";3;"4";"1";"5";1;"1";0;"Own";"2";"7";"1";46894
"2555";"Male";"5";3;"4";"2";"4";1;"1";0;"Rent";"3";"7";"1";32171
"2556";"2";"5";2;"5";"1";"5";1;"1";0;"Rent";"3";"7";"1";46894
"2557";"Male";"5";3;"5";"1";"2";1;"8";2;"Live with Parents/Family";"1";"2";"1";46894
"2558";"2";"2";3;"3";"4";"3";2;"2";0;"Rent";"3";"2";"1";21672
"2559";"2";"5";3;"4";"?";"4";1;"2";0;"Rent";"5";"2";"1";32171
"2560";"2";"5";3;"4";"5";"2";1;"3";1;"Live with Parents/Family";"1";"7";"1";11703
"2561";"2";"5";2;"4";"1";"3";1;"1";1;"Rent";"3";"1";"1";46894
"2562";"2";"5";2;"3";"1";"4";1;"2";0;"Live with Parents/Family";"1";"7";"1";27591
"2563";"2";"1";7;"3";"8";"5";3;"2";0;"Own";"1";"7";"1";21672
"2564";"Male";"3";6;"5";"1";"5";1;"3";0;"Rent";"5";"8";"1";46894
"2565";"Male";"4";6;"3";"8";"5";1;"3";0;"Own";"1";"7";"1";19997
"2566";"2";"5";6;"3";"4";"5";1;"1";0;"Rent";"3";"7";"1";46894
"2567";"Male";"5";2;"4";"3";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";19997
"2568";"Male";"1";6;"4";"1";"?";2;"2";0;"Own";"1";"7";"1";32171
"2569";"2";"2";3;"5";"4";"3";1;"2";0;"Rent";"3";"7";"1";5740
"2570";"2";"4";5;"3";"4";"5";1;"2";1;"Own";"1";"7";"1";21672
"2571";"Male";"1";3;"6";"1";"?";2;"2";0;"Rent";"3";"7";"1";32171
"2572";"2";"5";3;"5";"1";"5";1;"3";0;"Rent";"1";"8";"1";27591
"2573";"2";"5";2;"4";"6";"5";1;"3";0;"Live with Family";"1";"7";"1";32171
"2574";"2";"5";2;"3";"4";"?";1;"1";0;"Rent";"3";"7";"1";11703
"2575";"Male";"1";4;"4";"3";"5";2;"2";0;"Own";"1";"7";"1";27591
"2576";"2";"5";3;"5";"1";"3";1;"4";0;"Own";"1";"2";"1";27591
"2577";"2";"1";4;"4";"3";"4";2;"2";0;"Own";"1";"7";"1";66994
"2578";"2";"?";4;"5";"1";"5";1;"4";1;"Own";"1";"5";"2";66994
"2579";"2";"2";4;"5";"1";"5";1;"2";0;"Own";"1";"7";"1";76004
"2580";"Male";"2";4;"4";"1";"5";2;"2";0;"Own";"1";"7";"1";76004
"2581";"2";"1";4;"4";"1";"?";2;"4";1;"Own";"1";"2";"1";66994
"2582";"Male";"1";5;"5";"1";"5";3;"2";0;"Own";"1";"7";"1";76004
"2583";"2";"1";5;"4";"5";"5";3;"2";0;"Own";"1";"7";"1";76004
"2584";"2";"1";4;"4";"4";"4";2;"2";0;"Own";"1";"2";"1";66994
"2585";"2";"5";2;"5";"1";"5";1;"4";0;"Live with Parents/Family";"1";"8";"1";66994
"2586";"2";"1";4;"3";"4";"3";2;"3";0;"Own";"5";"7";"1";76004
"2587";"2";"1";5;"4";"1";"5";2;"3";0;"Own";"1";"7";"1";66994
"2588";"2";"4";5;"4";"1";"5";1;"1";0;"Own";"1";"7";"1";66994
"2589";"2";"1";5;"4";"1";"5";2;"3";0;"Own";"1";"7";"1";76004
"2590";"2";"5";2;"2";"6";"5";1;"4";1;"Live with Parents/Family";"1";"7";"1";66994
"2591";"Male";"1";5;"5";"1";"5";2;"3";1;"Own";"1";"2";"1";76004
"2592";"Male";"5";3;"4";"3";"5";1;"5";0;"Live with Parents/Family";"1";"7";"1";76004
"2593";"Male";"1";4;"5";"1";"5";2;"3";0;"Own";"1";"7";"1";76004
"2594";"2";"5";2;"3";"2";"5";1;"4";1;"Live with Parents/Family";"1";"7";"1";66994
"2595";"2";"2";3;"6";"1";"1";1;"2";0;"Rent";"3";"5";"1";66994
"2596";"Male";"1";4;"4";"1";"5";2;"3";0;"Own";"5";"7";"1";76004
"2597";"Male";"1";5;"6";"1";"5";2;"4";2;"Own";"1";"7";"1";76004
"2598";"Male";"1";3;"6";"1";"4";3;"3";1;"Own";"1";"7";"?";76004
"2599";"Male";"5";3;"5";"1";"3";1;"7";2;"Rent";"1";"2";"3";66994
"2600";"Male";"1";5;"5";"8";"5";3;"3";0;"Own";"1";"7";"1";76004
"2601";"2";"1";5;"4";"1";"3";2;"2";0;"Own";"2";"7";"1";66994
"2602";"Male";"1";5;"5";"2";"3";2;"2";0;"Own";"2";"7";"1";66994
"2603";"Male";"1";5;"4";"1";"5";3;"4";0;"Own";"1";"2";"3";46894
"2604";"2";"5";3;"4";"4";"5";1;"1";0;"Rent";"3";"8";"1";19997
"2605";"2";"5";3;"6";"1";"3";1;"3";0;"Rent";"1";"2";"1";32171
"2606";"2";"5";2;"4";"6";"5";1;"3";0;"Live with Parents/Family";"1";"7";"1";46894
"2607";"2";"5";2;"4";"9";"5";1;"4";1;"Live with Parents/Family";"1";"2";"1";9136
"2608";"2";"1";3;"4";"1";"5";2;"2";0;"Own";"4";"7";"1";46894
"2609";"2";"1";3;"3";"5";"5";3;"4";2;"Rent";"2";"7";"1";46894
"2610";"Male";"5";2;"2";"3";"5";1;"2";0;"Rent";"3";"5";"1";46894
"2611";"2";"2";2;"4";"4";"5";1;"2";0;"Rent";"3";"7";"1";46894
"2612";"Male";"1";3;"5";"2";"2";2;"2";0;"Own";"2";"7";"1";76004
"2613";"Male";"1";5;"6";"1";"?";2;"2";0;"Own";"?";"7";"1";76004
"2614";"Male";"5";2;"4";"6";"5";1;"3";0;"Live with Parents/Family";"2";"5";"2";19997
"2615";"2";"3";5;"1";"3";"5";1;"3";0;"Own";"2";"5";"2";21672
"2616";"Male";"1";3;"4";"2";"5";2;"4";2;"Rent";"3";"7";"1";32171
"2617";"Male";"5";2;"4";"1";"2";1;"1";0;"Rent";"1";"7";"1";27591
"2618";"Male";"5";3;"6";"1";"2";1;"1";0;"Rent";"3";"7";"1";32171
"2619";"2";"5";2;"5";"9";"5";1;"5";2;"Live with Parents/Family";"1";"7";"1";76004
"2620";"2";"1";3;"4";"1";"?";2;"2";0;"Own";"1";"7";"1";76004
"2621";"Male";"5";2;"5";"1";"5";1;"?";0;"Rent";"3";"7";"1";21672
"2622";"2";"5";3;"5";"1";"?";1;"1";0;"Rent";"3";"7";"1";66994
"2623";"2";"1";3;"3";"4";"5";2;"2";0;"Rent";"3";"7";"1";46894
"2624";"Male";"1";7;"4";"8";"4";3;"2";0;"Own";"1";"7";"1";27591
"2625";"2";"1";6;"4";"8";"5";3;"3";0;"Own";"?";"7";"1";27591
"2626";"Male";"1";3;"5";"4";"3";2;"2";0;"Rent";"3";"3";"1";46894
"2627";"Male";"2";5;"4";"5";"?";3;"4";0;"Own";"1";"1";"1";21672
"2628";"Male";"1";4;"4";"1";"3";2;"2";0;"Own";"2";"7";"1";46894
"2629";"2";"5";3;"4";"2";"5";1;"1";0;"Rent";"3";"7";"1";32171
"2630";"Male";"2";3;"5";"1";"3";2;"2";0;"Rent";"3";"7";"1";66994
